matches_won,country_id,winner_id
6,CZE,214553
6,CZE,202227
6,CZE,201344
6,CZE,124112
6,CZE,205647
5,CZE,237477
5,CZE,221733
5,CZE,223406
5,CZE,144924
5,CZE,233719
5,CZE,200108
4,CZE,222980
4,CZE,104371
4,CZE,216188
4,CZE,223360
4,CZE,210764
3,CZE,220434
3,CZE,221136
3,CZE,105632
3,CZE,213939
3,CZE,223341
3,CZE,213940
3,CZE,221214
3,CZE,216187
3,CZE,201400
2,CZE,211696
2,CZE,221149
2,CZE,214121
2,CZE,221284
2,CZE,209338
2,CZE,220690
2,CZE,221310
2,CZE,223281
2,CZE,203547
2,CZE,203448
2,CZE,215710
2,CZE,222966
2,CZE,220460
1,CZE,231632
1,CZE,224481
1,CZE,211423
1,CZE,208343
1,CZE,106050
1,CZE,104160
1,CZE,105246
1,CZE,221311
1,CZE,202366
1,CZE,216224
1,CZE,105133
1,CZE,210455
1,CZE,122593
1,CZE,210031
1,CZE,214895
1,CZE,214893
1,CZE,222500
1,CZE,220269
1,CZE,220848
1,CZE,222967
1,CZE,201508
1,CZE,238184
107,DEN,201496
98,DEN,220704
85,DEN,111453
78,DEN,104233
66,DEN,219983
65,DEN,202471
49,DEN,214770
45,DEN,208029
27,DEN,220272
14,DEN,221376
8,DEN,220048
7,DEN,241717
3,DEN,222800
3,DEN,126526
3,DEN,221804
3,DEN,204372
2,DEN,144841
1,DEN,200416
1,DEN,204374
1,DEN,204373
1,DEN,144813
3,DEU,241713
1,DEU,244075
108,DOM,105497
65,DOM,106232
65,DOM,103607
7,DOM,200572
6,DOM,144773
3,DOM,212308
2,DOM,221979
1,DOM,212282
1,DOM,215789
1,DOM,221809
1,DOM,221980
1,DOM,205787
148,ECU,105877
122,ECU,105933
86,ECU,105271
65,ECU,211122
30,ECU,221242
21,ECU,105111
18,ECU,214713
11,ECU,106165
8,ECU,104117
5,ECU,202277
2,ECU,220839
1,ECU,220837
1,ECU,208930
1,ECU,127218
1,ECU,144885
1,ECU,220835
1,ECU,216476
1,ECU,219580
1,ECU,201995
238,EGY,211529
133,EGY,105633
114,EGY,210886
95,EGY,213974
60,EGY,205909
28,EGY,105747
18,EGY,221474
15,EGY,221083
14,EGY,126174
11,EGY,215041
11,EGY,215242
9,EGY,221473
8,EGY,214565
6,EGY,221336
5,EGY,221598
5,EGY,222697
5,EGY,222028
4,EGY,215870
4,EGY,221337
4,EGY,220394
3,EGY,221629
3,EGY,215774
3,EGY,215751
3,EGY,223324
3,EGY,222699
3,EGY,222614
3,EGY,223677
3,EGY,220240
3,EGY,230127
3,EGY,230874
2,EGY,221992
2,EGY,223252
2,EGY,206086
2,EGY,213585
2,EGY,213648
2,EGY,223067
2,EGY,221798
1,EGY,222027
1,EGY,223265
1,EGY,230125
1,EGY,237475
1,EGY,230878
1,EGY,225848
1,EGY,223672
1,EGY,222600
1,EGY,222996
112,ESA,105656
211,ESP,106148
190,ESP,104745
182,ESP,105138
178,ESP,204427
176,ESP,203463
173,ESP,211651
165,ESP,105807
156,ESP,144719
151,ESP,202916
150,ESP,206253
150,ESP,206216
147,ESP,126535
145,ESP,105077
143,ESP,202469
135,ESP,104629
135,ESP,124079
133,ESP,213706
129,ESP,126523
128,ESP,215453
127,ESP,200221
115,ESP,104198
114,ESP,104719
110,ESP,104269
106,ESP,213835
104,ESP,106408
102,ESP,214937
102,ESP,103852
97,ESP,104665
97,ESP,105782
96,ESP,210622
95,ESP,202418
93,ESP,104593
91,ESP,213557
89,ESP,215174
88,ESP,201562
87,ESP,215571
83,ESP,211508
81,ESP,201521
81,ESP,103990
77,ESP,200095
74,ESP,214236
74,ESP,215798
68,ESP,105751
66,ESP,207989
63,ESP,214145
63,ESP,201640
60,ESP,105438
59,ESP,213567
58,ESP,222601
57,ESP,201638
54,ESP,105529
51,ESP,214212
50,ESP,215398
49,ESP,209945
48,ESP,106177
47,ESP,103970
47,ESP,103105
43,ESP,206276
42,ESP,106120
39,ESP,216091
39,ESP,105283
39,ESP,206339
38,ESP,105515
37,ESP,103926
36,ESP,220742
35,ESP,216078
33,ESP,220781
31,ESP,104597
29,ESP,215698
27,ESP,200266
27,ESP,215699
27,ESP,203520
25,ESP,105137
25,ESP,103656
24,ESP,214885
24,ESP,106375
23,ESP,221213
23,ESP,105300
22,ESP,110754
22,ESP,221454
21,ESP,202197
20,ESP,214189
20,ESP,207663
19,ESP,106117
19,ESP,105128
19,ESP,202704
18,ESP,220999
18,ESP,222016
17,ESP,201440
16,ESP,214444
14,ESP,216406
14,ESP,215930
13,ESP,106238
12,ESP,213630
12,ESP,214442
11,ESP,201452
11,ESP,211028
10,ESP,105789
9,ESP,106354
9,ESP,220289
8,ESP,214216
8,ESP,214693
8,ESP,106322
7,ESP,132852
6,ESP,134457
6,ESP,204428
6,ESP,222824
6,ESP,215457
5,ESP,125854
5,ESP,216229
5,ESP,126737
5,ESP,105894
5,ESP,123812
5,ESP,216198
5,ESP,221457
5,ESP,219798
5,ESP,211956
4,ESP,213860
4,ESP,220564
4,ESP,126533
4,ESP,215354
4,ESP,221197
3,ESP,105758
3,ESP,207704
3,ESP,106403
3,ESP,221001
3,ESP,222891
3,ESP,222908
3,ESP,201287
3,ESP,222239
3,ESP,216131
3,ESP,214160
3,ESP,208279
3,ESP,202199
2,ESP,232881
2,ESP,132331
2,ESP,223023
2,ESP,215995
2,ESP,200374
2,ESP,126748
2,ESP,126222
2,ESP,200608
2,ESP,221432
2,ESP,215701
2,ESP,223326
2,ESP,222238
2,ESP,223328
2,ESP,220638
2,ESP,104936
2,ESP,222345
2,ESP,205881
2,ESP,223390
2,ESP,220164
2,ESP,225847
2,ESP,104544
2,ESP,220116
1,ESP,215963
1,ESP,103924
1,ESP,203406
1,ESP,215623
1,ESP,215622
1,ESP,216276
1,ESP,220753
1,ESP,215964
1,ESP,221288
1,ESP,231642
1,ESP,221286
1,ESP,216274
1,ESP,104043
1,ESP,225855
1,ESP,231636
1,ESP,203490
1,ESP,215128
1,ESP,137573
1,ESP,233724
1,ESP,214214
1,ESP,239402
1,ESP,103543
1,ESP,106197
1,ESP,216301
1,ESP,105314
1,ESP,200469
1,ESP,234226
1,ESP,241004
1,ESP,208540
1,ESP,215353
1,ESP,207546
1,ESP,126502
1,ESP,220163
1,ESP,216112
1,ESP,215369
1,ESP,213705
1,ESP,223147
1,ESP,220290
1,ESP,121669
1,ESP,220565
